Model,Epoch,TrainLoss,ValLoss,WAPE,Bias,BiasRatio
SAGE,10,2.386253,2.468105,0.7728,134.4693,0.1917
SAGE,20,1.996057,2.222804,0.6863,57.6527,0.0822
SAGE,30,1.934106,2.141794,0.6558,25.7628,0.0367
SAGE,40,1.584521,2.021360,0.7211,41.7285,0.0595
SAGE,50,0.967262,1.590775,0.6973,74.2346,0.1059
SAGE,60,0.851682,1.762731,0.6849,59.4897,0.0848
SAGE,70,0.785426,1.488069,0.6294,51.3091,0.0732
SAGE,80,0.772056,1.514113,0.6300,39.3221,0.0561
SAGE,90,0.721564,1.481131,0.6255,54.8863,0.0783
